dataset_name,image_name,I1,I2,I3,I4,I5,I6
culane,culane_driver_100_30frame_05251055_0356.MP4_03600.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251055_0356.MP4_03900.jpg,0.333,1,0.479,0.589,0.005,2
culane,culane_driver_100_30frame_05251055_0356.MP4_04500.jpg,0.488,1,0.42,0.459,0.003,3
culane,culane_driver_100_30frame_05251110_0361.MP4_00300.jpg,0.708,0.749,0.665,0.475,0.003,3
culane,culane_driver_100_30frame_05251110_0361.MP4_00600.jpg,0.768,0.814,0.721,0.557,0.003,3
culane,culane_driver_100_30frame_05251110_0361.MP4_00900.jpg,0.892,0.602,0.662,0.601,0.409,1
culane,culane_driver_100_30frame_05251110_0361.MP4_02100.jpg,0.729,0.769,0.664,0.531,0.004,4
culane,culane_driver_100_30frame_05251110_0361.MP4_02400.jpg,0.695,0.946,0.662,0.575,0.02,3
culane,culane_driver_100_30frame_05251110_0361.MP4_03000.jpg,0.452,1,0.481,0.529,0.004,3
culane,culane_driver_100_30frame_05251110_0361.MP4_03600.jpg,0.493,0.871,0.457,0.494,0.007,3
culane,culane_driver_100_30frame_05251110_0361.MP4_03900.jpg,0.5,0.849,0.455,0.442,0.007,3
culane,culane_driver_100_30frame_05251110_0361.MP4_04200.jpg,0.493,0.859,0.462,0.44,0.009,3
culane,culane_driver_100_30frame_05251110_0361.MP4_05100.jpg,0.645,1,0.757,0.543,0.015,3
culane,culane_driver_100_30frame_05251113_0362.MP4_00900.jpg,0.585,0.834,0.521,0.56,0.004,3
culane,culane_driver_100_30frame_05251113_0362.MP4_01800.jpg,0.545,1,0.525,0.57,0.005,3
culane,culane_driver_100_30frame_05251113_0362.MP4_02100.jpg,0.625,0.956,0.519,0.554,0.005,3
culane,culane_driver_100_30frame_05251113_0362.MP4_02700.jpg,0.48,0.926,0.595,0.454,0.004,3
culane,culane_driver_100_30frame_05251113_0362.MP4_03000.jpg,0.567,0.846,0.704,0.598,0.004,4
culane,culane_driver_100_30frame_05251113_0362.MP4_03600.jpg,0.658,0.582,0.383,0.649,0.121,3
culane,culane_driver_100_30frame_05251113_0362.MP4_04800.jpg,0.712,0.973,0.502,0.529,0.004,3
culane,culane_driver_100_30frame_05251113_0362.MP4_05100.jpg,0.635,0.972,0.604,0.535,0.004,3
culane,culane_driver_100_30frame_05251128_0367.MP4_00000.jpg,0.777,1,0.741,0.495,0.016,3
culane,culane_driver_100_30frame_05251128_0367.MP4_00300.jpg,1,1,0.767,0.499,0.487,1
culane,culane_driver_100_30frame_05251128_0367.MP4_01200.jpg,1,1,0.813,0.469,0.546,1
culane,culane_driver_100_30frame_05251128_0367.MP4_01500.jpg,0.774,1,0.708,0.485,0.147,3
culane,culane_driver_100_30frame_05251128_0367.MP4_01800.jpg,0.788,1,0.719,0.48,0.135,3
culane,culane_driver_100_30frame_05251128_0367.MP4_02100.jpg,0.907,1,0.862,0.45,0.247,2
culane,culane_driver_100_30frame_05251128_0367.MP4_02700.jpg,0.821,1,0.835,0.446,0.016,3
culane,culane_driver_100_30frame_05251128_0367.MP4_03300.jpg,0.713,1,0.852,0.492,0.018,3
culane,culane_driver_100_30frame_05251128_0367.MP4_04200.jpg,0.821,1,0.826,0.386,0.017,3
culane,culane_driver_100_30frame_05251131_0368.MP4_00000.jpg,0.841,1,0.81,0.333,0.016,3
culane,culane_driver_100_30frame_05251131_0368.MP4_00300.jpg,0.819,1,0.688,0.494,0.146,3
culane,culane_driver_100_30frame_05251131_0368.MP4_00600.jpg,0.902,1,0.825,0.494,0.123,3
culane,culane_driver_100_30frame_05251131_0368.MP4_00900.jpg,0.719,1,0.708,0.331,0.432,2
culane,culane_driver_100_30frame_05251131_0368.MP4_01200.jpg,0.826,1,0.778,0.43,0.016,3
culane,culane_driver_100_30frame_05251131_0368.MP4_01500.jpg,0.763,0.996,0.806,0.536,0.02,3
culane,culane_driver_100_30frame_05251131_0368.MP4_02100.jpg,0.901,1,0.732,0.438,0.111,3
culane,culane_driver_100_30frame_05251131_0368.MP4_02400.jpg,0.936,1,0.794,0.387,0.192,2
culane,culane_driver_100_30frame_05251131_0368.MP4_02700.jpg,0.863,1,0.853,0.418,0.015,3
culane,culane_driver_100_30frame_05251131_0368.MP4_03300.jpg,0.887,1,0.75,0.567,0.098,3
culane,culane_driver_100_30frame_05251131_0368.MP4_04500.jpg,0.787,1,0.841,0.341,0.019,3
culane,culane_driver_100_30frame_05251131_0368.MP4_04800.jpg,0.933,1,0.797,0.491,0.003,3
culane,culane_driver_100_30frame_05251131_0368.MP4_05100.jpg,0.65,1,0.769,0.512,0.009,4
culane,culane_driver_100_30frame_05251146_0373.MP4_01200.jpg,0.629,0.925,0.365,0.521,0.004,3
culane,culane_driver_100_30frame_05251146_0373.MP4_01500.jpg,0.629,0.917,0.414,0.586,0.004,3
culane,culane_driver_100_30frame_05251146_0373.MP4_01800.jpg,0.653,0.915,0.374,0.551,0.004,3
culane,culane_driver_100_30frame_05251146_0373.MP4_02400.jpg,0.61,0.464,0.573,0.613,0.011,3
culane,culane_driver_100_30frame_05251146_0373.MP4_02700.jpg,0.611,0.627,0.652,0.597,0.251,2
culane,culane_driver_100_30frame_05251146_0373.MP4_03300.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251146_0373.MP4_03600.jpg,0.616,0.695,0.425,0.614,0.003,3
culane,culane_driver_100_30frame_05251146_0373.MP4_03900.jpg,0.65,0.661,0.398,0.53,0.003,3
culane,culane_driver_100_30frame_05251146_0373.MP4_04500.jpg,0.591,0.696,0.476,0.565,0.003,3
culane,culane_driver_100_30frame_05251146_0373.MP4_04800.jpg,0.619,0.707,0.445,0.524,0.003,3
culane,culane_driver_100_30frame_05251204_0379.MP4_00000.jpg,0.475,0.771,0.271,0.669,0.004,4
culane,culane_driver_100_30frame_05251204_0379.MP4_00600.jpg,0.495,0.764,0.263,0.577,0.004,4
culane,culane_driver_100_30frame_05251204_0379.MP4_00900.jpg,0.425,0.682,0.228,0.633,0.004,4
culane,culane_driver_100_30frame_05251204_0379.MP4_01500.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251204_0379.MP4_02400.jpg,0.45,0.661,0.351,0.63,0.004,4
culane,culane_driver_100_30frame_05251204_0379.MP4_02700.jpg,0.63,0.899,0.463,0.577,0.032,4
culane,culane_driver_100_30frame_05251204_0379.MP4_03000.jpg,0.726,0.49,0.709,0.591,0.014,4
culane,culane_driver_100_30frame_05251204_0379.MP4_03600.jpg,0.754,0.765,0.604,0.591,0.017,4
culane,culane_driver_100_30frame_05251204_0379.MP4_03900.jpg,0.547,0.724,0.528,0.644,0.003,2
culane,culane_driver_100_30frame_05251204_0379.MP4_04200.jpg,0.925,0.735,0.814,0.44,0.118,3
culane,culane_driver_100_30frame_05251204_0379.MP4_05100.jpg,0.458,0.637,0.691,0.596,0.012,3
culane,culane_driver_100_30frame_05251207_0380.MP4_00000.jpg,0.461,0.863,0.677,0.514,0.007,4
culane,culane_driver_100_30frame_05251207_0380.MP4_00600.jpg,0.853,0.49,0.686,0.564,0.131,3
culane,culane_driver_100_30frame_05251207_0380.MP4_01500.jpg,0.896,0.666,0.789,0.585,0.096,3
culane,culane_driver_100_30frame_05251207_0380.MP4_01800.jpg,0.687,0.746,0.624,0.429,0.014,4
culane,culane_driver_100_30frame_05251207_0380.MP4_02100.jpg,0.73,0.757,0.721,0.457,0.017,4
culane,culane_driver_100_30frame_05251207_0380.MP4_02400.jpg,0.656,0.789,0.654,0.516,0.025,4
culane,culane_driver_100_30frame_05251207_0380.MP4_03000.jpg,0.762,0.495,0.501,0.526,0.136,3
culane,culane_driver_100_30frame_05251207_0380.MP4_03600.jpg,0.437,0.552,0.561,0.533,0.004,4
culane,culane_driver_100_30frame_05251207_0380.MP4_04200.jpg,0.414,0.989,0.515,0.547,0.003,4
culane,culane_driver_100_30frame_05251207_0380.MP4_04500.jpg,0.44,1,0.409,0.542,0.003,4
culane,culane_driver_100_30frame_05251207_0380.MP4_04800.jpg,0.428,1,0.382,0.555,0.003,4
culane,culane_driver_100_30frame_05251222_0385.MP4_00900.jpg,0.611,0.928,0.659,0.579,0.012,3
culane,culane_driver_100_30frame_05251222_0385.MP4_01500.jpg,0.798,0.874,0.7,0.554,0.017,4
culane,culane_driver_100_30frame_05251222_0385.MP4_01800.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251222_0385.MP4_02100.jpg,0.645,0.891,0.682,0.589,0.006,3
culane,culane_driver_100_30frame_05251222_0385.MP4_02400.jpg,0.876,0.81,0.583,0.401,0.009,4
culane,culane_driver_100_30frame_05251222_0385.MP4_02700.jpg,0.653,0.763,0.587,0.508,0.14,3
culane,culane_driver_100_30frame_05251222_0385.MP4_03000.jpg,0.556,1,0.539,0.499,0.003,3
culane,culane_driver_100_30frame_05251222_0385.MP4_03600.jpg,0.649,1,0.694,0.533,0.008,3
culane,culane_driver_100_30frame_05251222_0385.MP4_03900.jpg,0.693,0.88,0.654,0.457,0.101,3
culane,culane_driver_100_30frame_05251222_0385.MP4_04200.jpg,0.434,1,0.559,0.57,0.003,4
culane,culane_driver_100_30frame_05251222_0385.MP4_04500.jpg,0.628,1,0.571,0.569,0.003,4
culane,culane_driver_100_30frame_05251222_0385.MP4_05100.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251225_0386.MP4_00300.jpg,0.596,1,0.711,0.511,0.004,3
culane,culane_driver_100_30frame_05251225_0386.MP4_00600.jpg,0.794,0.919,0.642,0.49,0.012,3
culane,culane_driver_100_30frame_05251225_0386.MP4_01200.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251225_0386.MP4_01500.jpg,0.58,1,0.679,0.54,0.245,2
culane,culane_driver_100_30frame_05251225_0386.MP4_02700.jpg,0.567,0.949,0.663,0.505,0.017,3
culane,culane_driver_100_30frame_05251225_0386.MP4_03000.jpg,0.792,0.868,0.567,0.487,0.008,3
culane,culane_driver_100_30frame_05251225_0386.MP4_03600.jpg,0.714,0.755,0.539,0.541,0.015,4
culane,culane_driver_100_30frame_05251225_0386.MP4_03900.jpg,0.783,0.731,0.501,0.51,0.004,4
culane,culane_driver_100_30frame_05251225_0386.MP4_04200.jpg,0.802,0.736,0.489,0.493,0.004,4
culane,culane_driver_100_30frame_05251225_0386.MP4_04800.jpg,0.784,0.755,0.511,0.51,0.142,3
culane,culane_driver_100_30frame_05251251_0391.MP4_00300.jpg,0.69,0.513,0.542,0.658,0.013,4
culane,culane_driver_100_30frame_05251251_0391.MP4_00600.jpg,0.451,0.596,0.437,0.574,0.004,4
culane,culane_driver_100_30frame_05251251_0391.MP4_00900.jpg,0.484,0.772,0.657,0.655,0.004,4
culane,culane_driver_100_30frame_05251251_0391.MP4_01200.jpg,0.559,0.658,0.587,0.654,0.004,4
culane,culane_driver_100_30frame_05251251_0391.MP4_01500.jpg,0.41,0.652,0.668,0.598,0.003,4
culane,culane_driver_100_30frame_05251251_0391.MP4_01800.jpg,0.451,0.571,0.624,0.608,0.006,2
culane,culane_driver_100_30frame_05251251_0391.MP4_02100.jpg,0.648,0.417,0.648,0.605,0.004,4
culane,culane_driver_100_30frame_05251251_0391.MP4_02400.jpg,0.789,0.397,0.657,0.524,0.061,2
culane,culane_driver_100_30frame_05251251_0391.MP4_02700.jpg,0.645,0.781,0.685,0.472,0.05,3
culane,culane_driver_100_30frame_05251251_0391.MP4_03000.jpg,0.841,0.446,0.546,0.594,0.068,3
culane,culane_driver_100_30frame_05251251_0391.MP4_03900.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251251_0391.MP4_04200.jpg,0.387,0.805,0.55,0.599,0.005,3
culane,culane_driver_100_30frame_05251251_0391.MP4_04500.jpg,0.583,0.443,0.581,0.547,0.004,3
culane,culane_driver_100_30frame_05251251_0391.MP4_05100.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251254_0392.MP4_00300.jpg,0.782,0.75,0.512,0.535,0.003,3
culane,culane_driver_100_30frame_05251254_0392.MP4_00600.jpg,0.638,0.499,0.386,0.649,0.004,3
culane,culane_driver_100_30frame_05251254_0392.MP4_01200.jpg,0.522,0.59,0.456,0.455,0.025,2
culane,culane_driver_100_30frame_05251254_0392.MP4_01500.jpg,0.533,0.877,0.377,0.488,0.025,2
culane,culane_driver_100_30frame_05251254_0392.MP4_02400.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251254_0392.MP4_03000.jpg,0.728,0.526,0.402,0.559,0.003,3
culane,culane_driver_100_30frame_05251254_0392.MP4_03900.jpg,0.483,0.503,0.315,0.557,0.225,2
culane,culane_driver_100_30frame_05251309_0397.MP4_00300.jpg,0.602,0.602,0.468,0.575,0.308,1
culane,culane_driver_100_30frame_05251309_0397.MP4_01200.jpg,0.785,0.768,0.48,0.517,0.005,4
culane,culane_driver_100_30frame_05251309_0397.MP4_02400.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251309_0397.MP4_02700.jpg,0.547,0.811,0.696,0.581,0.09,3
culane,culane_driver_100_30frame_05251309_0397.MP4_03600.jpg,0.764,0.883,0.732,0.53,0.016,4
culane,culane_driver_100_30frame_05251309_0397.MP4_03900.jpg,0.797,0.849,0.77,0.456,0.219,2
culane,culane_driver_100_30frame_05251309_0397.MP4_04800.jpg,0.725,0.664,0.24,0.555,0.005,2
culane,culane_driver_100_30frame_05251309_0397.MP4_05100.jpg,0.295,1,0.534,0.632,0.003,2
culane,culane_driver_100_30frame_05251312_0398.MP4_00900.jpg,0.669,0.752,0.434,0.619,0.004,3
culane,culane_driver_100_30frame_05251312_0398.MP4_01200.jpg,0.667,0.929,0.486,0.536,0.139,2
culane,culane_driver_100_30frame_05251312_0398.MP4_01500.jpg,0.727,0.854,0.604,0.468,0.341,2
culane,culane_driver_100_30frame_05251312_0398.MP4_01800.jpg,0.986,0.858,0.727,0.546,0.368,2
culane,culane_driver_100_30frame_05251312_0398.MP4_02100.jpg,0.783,0.908,0.711,0.543,0.366,2
culane,culane_driver_100_30frame_05251312_0398.MP4_02400.jpg,0.66,1,0.717,0.474,0.432,2
culane,culane_driver_100_30frame_05251312_0398.MP4_02700.jpg,0.546,1,0.699,0.502,0.437,2
culane,culane_driver_100_30frame_05251312_0398.MP4_03000.jpg,0.535,1,0.672,0.595,0.447,2
culane,culane_driver_100_30frame_05251312_0398.MP4_03900.jpg,0.803,0.916,0.649,0.482,0.019,4
culane,culane_driver_100_30frame_05251312_0398.MP4_04200.jpg,0.788,0.833,0.647,0.626,0.175,1
culane,culane_driver_100_30frame_05251312_0398.MP4_04500.jpg,0.723,0.937,0.653,0.623,0.019,4
culane,culane_driver_100_30frame_05251312_0398.MP4_04800.jpg,0.638,0.813,0.572,0.613,0.013,4
culane,culane_driver_100_30frame_05251327_0403.MP4_00000.jpg,0.739,1,0.758,0.487,0.015,3
culane,culane_driver_100_30frame_05251327_0403.MP4_00300.jpg,0.739,1,0.804,0.488,0.018,3
culane,culane_driver_100_30frame_05251327_0403.MP4_02400.jpg,0.519,0.883,0.48,0.521,0.018,3
culane,culane_driver_100_30frame_05251327_0403.MP4_02700.jpg,0.562,0.79,0.604,0.523,0.256,2
culane,culane_driver_100_30frame_05251327_0403.MP4_03000.jpg,0.451,0.828,0.514,0.526,0.043,3
culane,culane_driver_100_30frame_05251327_0403.MP4_03600.jpg,0.484,0.811,0.345,0.544,0.004,3
culane,culane_driver_100_30frame_05251327_0403.MP4_04800.jpg,0.543,0.802,0.537,0.514,0.099,2
culane,culane_driver_100_30frame_05251330_0404.MP4_00000.jpg,0.517,0.499,0.314,0.622,0.015,3
culane,culane_driver_100_30frame_05251330_0404.MP4_00600.jpg,0.593,0.655,0.501,0.548,0.251,2
culane,culane_driver_100_30frame_05251330_0404.MP4_00900.jpg,0.629,0.574,0.52,0.621,0.019,3
culane,culane_driver_100_30frame_05251330_0404.MP4_01200.jpg,0.455,0.723,0.39,0.514,0.005,3
culane,culane_driver_100_30frame_05251330_0404.MP4_02100.jpg,0.582,0.842,0.714,0.59,0.005,4
culane,culane_driver_100_30frame_05251330_0404.MP4_02400.jpg,0.539,1,0.613,0.595,0.047,3
culane,culane_driver_100_30frame_05251330_0404.MP4_03300.jpg,0.766,0.761,0.657,0.454,0.134,3
culane,culane_driver_100_30frame_05251330_0404.MP4_04500.jpg,0.555,1,0.663,0.518,0.011,3
culane,culane_driver_100_30frame_05251330_0404.MP4_04800.jpg,0.622,0.901,0.499,0.431,0.004,3
culane,culane_driver_100_30frame_05251356_0409.MP4_00000.jpg,0.522,0.703,0.563,0.542,0.128,2
culane,culane_driver_100_30frame_05251408_0410.MP4_00000.jpg,0.558,0.793,0.573,0.538,0.128,2
culane,culane_driver_100_30frame_05251408_0410.MP4_00900.jpg,0.472,0.78,0.239,0.586,0.007,3
culane,culane_driver_100_30frame_05251408_0410.MP4_01200.jpg,0.475,0.874,0.354,0.592,0.004,4
culane,culane_driver_100_30frame_05251408_0410.MP4_02100.jpg,0.497,0.643,0.735,0.579,0.082,3
culane,culane_driver_100_30frame_05251408_0410.MP4_02700.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251408_0410.MP4_03300.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251408_0410.MP4_03600.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251408_0410.MP4_03900.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251408_0410.MP4_04200.jpg,0.572,0.573,0.618,0.519,0.004,2
culane,culane_driver_100_30frame_05251408_0410.MP4_04500.jpg,0.584,0.609,0.519,0.588,0.008,4
culane,culane_driver_100_30frame_05251408_0410.MP4_04800.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251408_0410.MP4_05100.jpg,0.626,0.387,0.308,0.621,0.03,3
culane,culane_driver_100_30frame_05251423_0415.MP4_00600.jpg,0.558,0.598,0.531,0.562,0.007,4
culane,culane_driver_100_30frame_05251423_0415.MP4_00900.jpg,0.522,0.66,0.61,0.538,0.017,4
culane,culane_driver_100_30frame_05251423_0415.MP4_01500.jpg,0.543,0.981,0.471,0.537,0.003,3
culane,culane_driver_100_30frame_05251423_0415.MP4_01800.jpg,0.538,0.992,0.463,0.553,0.003,3
culane,culane_driver_100_30frame_05251423_0415.MP4_02400.jpg,0.624,1,0.495,0.55,0.003,3
culane,culane_driver_100_30frame_05251423_0415.MP4_03000.jpg,0.731,0.645,0.441,0.485,0.062,2
culane,culane_driver_100_30frame_05251423_0415.MP4_03300.jpg,0.714,0.734,0.454,0.501,0.062,2
culane,culane_driver_100_30frame_05251423_0415.MP4_03900.jpg,0.77,1,0.502,0.392,0.138,2
culane,culane_driver_100_30frame_05251423_0415.MP4_04200.jpg,0.821,0.978,0.537,0.284,0.004,3
culane,culane_driver_100_30frame_05251423_0415.MP4_04500.jpg,0.438,1,0.673,0.502,0.004,3
culane,culane_driver_100_30frame_05251423_0415.MP4_04800.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251426_0416.MP4_00000.jpg,0.374,1,0.689,0.677,0.004,3
culane,culane_driver_100_30frame_05251426_0416.MP4_00300.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251426_0416.MP4_00600.jpg,0.546,0.712,0.594,0.579,0.007,3
culane,culane_driver_100_30frame_05251426_0416.MP4_01200.jpg,0.6,0.672,0.491,0.639,0.014,3
culane,culane_driver_100_30frame_05251426_0416.MP4_01500.jpg,0.626,0.681,0.301,0.511,0.004,3
culane,culane_driver_100_30frame_05251426_0416.MP4_01800.jpg,0.59,0.691,0.309,0.485,0.004,3
culane,culane_driver_100_30frame_05251426_0416.MP4_02400.jpg,0.542,0.709,0.417,0.52,0.004,3
culane,culane_driver_100_30frame_05251426_0416.MP4_03900.jpg,0.8,0.915,0.393,0.562,0.008,3
culane,culane_driver_100_30frame_05251426_0416.MP4_04200.jpg,0.581,0.629,0.532,0.55,0.021,3
culane,culane_driver_100_30frame_05251426_0416.MP4_04500.jpg,0.696,0.664,0.305,0.68,0.054,3
culane,culane_driver_100_30frame_05251426_0416.MP4_05100.jpg,0.635,0.879,0.342,0.608,0.069,3
culane,culane_driver_100_30frame_05251441_0421.MP4_00900.jpg,0.518,1,0.332,0.566,0.003,3
culane,culane_driver_100_30frame_05251441_0421.MP4_02100.jpg,0.464,1,0.432,0.596,0.003,3
culane,culane_driver_100_30frame_05251441_0421.MP4_03000.jpg,0.489,1,0.429,0.588,0.003,3
culane,culane_driver_100_30frame_05251441_0421.MP4_03900.jpg,0.464,1,0.428,0.536,0.003,3
culane,culane_driver_100_30frame_05251441_0421.MP4_04200.jpg,0.478,1,0.401,0.549,0.003,3
culane,culane_driver_100_30frame_05251441_0421.MP4_04500.jpg,0.507,1,0.403,0.555,0.003,3
culane,culane_driver_100_30frame_05251441_0421.MP4_05100.jpg,0.366,1,0.475,0.534,0.004,3
culane,culane_driver_100_30frame_05251444_0422.MP4_00000.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251444_0422.MP4_00300.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251444_0422.MP4_00600.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251444_0422.MP4_01800.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251444_0422.MP4_03000.jpg,0.496,1,0.446,0.655,0.003,3
culane,culane_driver_100_30frame_05251444_0422.MP4_03600.jpg,0.551,0.976,0.308,0.602,0.003,3
culane,culane_driver_100_30frame_05251444_0422.MP4_03900.jpg,0.554,1,0.294,0.648,0.003,3
culane,culane_driver_100_30frame_05251444_0422.MP4_04200.jpg,0.546,0.931,0.3,0.51,0.003,3
culane,culane_driver_100_30frame_05251444_0422.MP4_04500.jpg,0.531,0.791,0.35,0.562,0.003,4
culane,culane_driver_100_30frame_05251444_0422.MP4_04800.jpg,0.66,0.856,0.295,0.622,0.007,4
culane,culane_driver_100_30frame_05251459_0427.MP4_00000.jpg,0.439,0.959,0.423,0.575,0.004,3
culane,culane_driver_100_30frame_05251459_0427.MP4_00300.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251459_0427.MP4_00900.jpg,0.546,1,0.607,0.55,0.012,3
culane,culane_driver_100_30frame_05251459_0427.MP4_01200.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251459_0427.MP4_01800.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251459_0427.MP4_02400.jpg,0.543,0.494,0.231,0.572,0.004,3
culane,culane_driver_100_30frame_05251459_0427.MP4_03000.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251459_0427.MP4_04800.jpg,0.324,0.942,0.471,0.568,0.003,3
culane,culane_driver_100_30frame_05251459_0427.MP4_05100.jpg,0.644,0.997,0.342,0.586,0.021,4
culane,culane_driver_100_30frame_05251502_0428.MP4_00000.jpg,0.74,0.773,0.345,0.502,0.005,4
culane,culane_driver_100_30frame_05251502_0428.MP4_00300.jpg,0.625,0.63,0.527,0.551,0.004,4
culane,culane_driver_100_30frame_05251502_0428.MP4_01500.jpg,0.544,0.9,0.223,0.508,0.003,4
culane,culane_driver_100_30frame_05251502_0428.MP4_02700.jpg,0.534,0.857,0.521,0.48,0.004,4
culane,culane_driver_100_30frame_05251502_0428.MP4_03300.jpg,0.719,0.799,0.378,0.457,0.004,4
culane,culane_driver_100_30frame_05251502_0428.MP4_03600.jpg,0.746,0.795,0.426,0.542,0.004,4
culane,culane_driver_100_30frame_05251502_0428.MP4_03900.jpg,0.444,0.747,0.466,0.561,0.004,3
culane,culane_driver_100_30frame_05251517_0433.MP4_00300.jpg,0.604,0.968,0.352,0.643,0.004,3
culane,culane_driver_100_30frame_05251517_0433.MP4_00600.jpg,0.597,0.868,0.342,0.556,0.004,3
culane,culane_driver_100_30frame_05251517_0433.MP4_01200.jpg,0.557,0.791,0.419,0.606,0.004,3
culane,culane_driver_100_30frame_05251517_0433.MP4_01500.jpg,0.683,0.802,0.428,0.647,0.004,3
culane,culane_driver_100_30frame_05251517_0433.MP4_02400.jpg,0.589,0.733,0.26,0.664,0.004,3
culane,culane_driver_100_30frame_05251517_0433.MP4_03300.jpg,0.627,0.696,0.336,0.658,0.003,3
culane,culane_driver_100_30frame_05251517_0433.MP4_03600.jpg,0.693,0.471,0.219,0.603,0.004,3
culane,culane_driver_100_30frame_05251517_0433.MP4_04200.jpg,0.344,1,0.525,0.43,0.004,3
culane,culane_driver_100_30frame_05251517_0433.MP4_04500.jpg,0.364,1,0.452,0.383,0.004,3
culane,culane_driver_100_30frame_05251517_0433.MP4_05100.jpg,0.364,1,0.467,0.393,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_00000.jpg,0.347,1,0.466,0.39,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_00900.jpg,0.364,1,0.469,0.423,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_01200.jpg,0.424,1,0.484,0.527,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_01500.jpg,0.563,1,0.352,0.589,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_01800.jpg,0.643,0.877,0.397,0.619,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_02100.jpg,0.608,0.791,0.338,0.568,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_02400.jpg,0.691,0.763,0.285,0.496,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_02700.jpg,0.684,0.761,0.29,0.503,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_03000.jpg,0.675,0.768,0.288,0.473,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_03600.jpg,0.667,0.789,0.29,0.51,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_03900.jpg,0.65,0.783,0.294,0.485,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_04200.jpg,0.637,0.766,0.286,0.453,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_04500.jpg,0.643,0.777,0.284,0.495,0.004,3
culane,culane_driver_100_30frame_05251520_0434.MP4_05100.jpg,0.634,0.845,0.319,0.535,0.004,3
culane,culane_driver_100_30frame_05251548_0439.MP4_00000.jpg,0.629,0.782,0.218,0.556,0.003,3
culane,culane_driver_100_30frame_05251548_0439.MP4_00600.jpg,0.814,0.705,0.4,0.61,0.012,3
culane,culane_driver_100_30frame_05251548_0439.MP4_01200.jpg,0.745,0.663,0.556,0.591,0.254,2
culane,culane_driver_100_30frame_05251548_0439.MP4_01500.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251548_0439.MP4_01800.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251548_0439.MP4_02100.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251548_0439.MP4_02700.jpg,,,,,NA,
culane,culane_driver_100_30frame_05251548_0439.MP4_03600.jpg,0.457,0.84,0.42,0.684,0.003,3
culane,culane_driver_100_30frame_05251548_0439.MP4_03900.jpg,0.408,0.894,0.292,0.671,0.003,3
culane,culane_driver_100_30frame_05251551_0440.MP4_00600.jpg,0.552,0.812,0.284,0.632,0.003,3
culane,culane_driver_100_30frame_05251551_0440.MP4_00900.jpg,0.54,0.663,0.279,0.588,0.003,3
culane,culane_driver_100_30frame_05251551_0440.MP4_01200.jpg,0.421,0.798,0.357,0.637,0.531,1
culane,culane_driver_100_30frame_05251551_0440.MP4_01500.jpg,0.407,1,0.307,0.597,0.531,1
culane,culane_driver_100_30frame_05251551_0440.MP4_02400.jpg,0.661,1,0.385,0.6,0.531,1
culane,culane_driver_100_30frame_05251551_0440.MP4_02700.jpg,0.606,0.702,0.565,0.554,0.394,1
culane,culane_driver_100_30frame_05251551_0440.MP4_03000.jpg,0.445,0.734,0.384,0.577,0.178,2
culane,culane_driver_100_30frame_05251551_0440.MP4_03300.jpg,0.437,0.757,0.551,0.602,0.003,3
culane,culane_driver_100_30frame_05251551_0440.MP4_03900.jpg,,,,,NA,
